@relation '<netmate-2017-06-07-17:00:43-1>-weka.filters.unsupervised.attribute.Remove-R1-5-weka.filters.supervised.instance.Resample-B0.0-S1-Z60.0-no-replacement-V-weka.filters.supervised.instance.Resample-B0.0-S1-Z50.0-no-replacement-V-weka.filters.unsupervised.attribute.Remove-R4-5,8-10,13-19,22,27,29-33,36-37-weka.filters.unsupervised.attribute.Remove-R13-14'

@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute std_biat numeric
@attribute duration numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute class {vpn,normal}

@data
8080,1917928,7279,237,4420,45300,3259,102542,4131637815,500198,5748601,581024,5128,5442,323220,291164,vpn
1291,356496,1103,276,2960,13180,1542,175564,590025077,2044259,14655727,2733796,871,842,51660,44124,vpn
1180,332404,1009,281,1826,19020,3041,196499,590028093,1431439,13730381,2190891,740,762,47220,40364,vpn
480,127282,413,265,1500,27780,2274,159824,590026266,668665,4242222,1003040,337,295,19220,16524,vpn
1047,315962,906,301,1500,10260,1094,144590,590025620,1442012,5776653,1597551,742,627,41900,36244,vpn
1194,349010,1017,292,2960,8800,1058,190185,590025245,1401368,6605439,1698260,858,746,47780,40684,vpn
2598,774662,2404,298,1500,21940,2976,119433,590026636,1865339,15061044,2293367,1628,1948,103940,96164,vpn
1117,370496,938,331,2960,10260,1441,146654,590030263,1511080,9796306,2147907,783,681,44700,37524,vpn
694,213442,600,307,1614,8800,892,133898,590023312,768832,6908263,1294491,497,409,27780,24004,vpn
1579,524336,1408,332,1534,10260,1269,144395,590073699,1524589,15867587,2516268,1149,880,63180,56324,vpn
4108,923662,3885,224,2008,21940,2791,112790,463922181,1582131,8607566,1865961,2727,3318,164340,155404,vpn
