@relation <netmate-2017-06-07-17:00:43-1>-weka.filters.unsupervised.attribute.Remove-R1-5-weka.filters.supervised.instance.Resample-B0.0-S1-Z60.0-no-replacement

@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute total_bvolume numeric
@attribute min_fpktl numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_bpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute min_fiat numeric
@attribute mean_fiat numeric
@attribute max_fiat numeric
@attribute std_fiat numeric
@attribute min_biat numeric
@attribute mean_biat numeric
@attribute max_biat numeric
@attribute std_biat numeric
@attribute duration numeric
@attribute min_active numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute min_idle numeric
@attribute mean_idle numeric
@attribute max_idle numeric
@attribute std_idle numeric
@attribute sflow_fpackets numeric
@attribute sflow_fbytes numeric
@attribute sflow_bpackets numeric
@attribute sflow_bbytes numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute furg_cnt numeric
@attribute burg_cnt numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute class {vpn,normal}

@data
1491,442252,1219,677423,40,296,1614,386,40,555,14640,1259,15,70445,1140953,145087,1,86876,1206234,157686,590026068,230,1277328,15028914,2068961,1027275,6082030,64072711,8229324,18,5459,15,8363,1018,908,0,0,59660,48764,vpn
924,260162,767,433828,40,281,1500,362,40,565,14640,1232,12,72339,1201442,151460,7,88903,1087110,158861,590025285,23,1306376,7983741,1757032,1026577,10468001,70104045,14708631,18,5101,15,8506,642,551,0,0,36980,30684,vpn
724,207416,588,310601,40,286,1500,379,40,528,7340,992,24,71739,986171,143266,7,91105,1054090,163554,293159899,80924,1240605,4611558,1299103,1042748,5879377,47819588,7892601,17,4938,14,7395,491,438,0,0,28980,23524,vpn
1156,303932,963,786025,40,262,2960,372,40,816,11720,1480,12,69640,993803,127428,3,83696,1167823,148795,590026640,26570,1010737,14890038,2061313,1014205,6638820,41686030,6419086,14,3896,12,10077,765,745,0,0,46260,38524,vpn
4589,1254140,4115,8332341,40,273,2960,358,40,2024,23400,3108,8,49023,1112433,117134,2,54193,1072929,128570,590026861,14883,2019217,16143534,2818009,1052717,3326306,37093245,4299027,41,11298,37,75066,2977,3324,0,0,183580,164604,vpn
1106,340446,948,775222,40,307,1500,370,40,817,14640,1615,11,84973,1024392,169349,9,101209,1103819,177828,590025815,20,1449266,10499737,2064013,1001506,7893218,153086277,19097946,17,5319,14,12112,815,616,0,0,44260,37924,vpn
1393,411888,1185,694456,40,295,1500,374,40,586,16100,1158,13,68264,1087365,140626,2,82683,1033632,144809,590024492,28077,1267766,8461103,1620515,1062594,6582322,63841512,10022469,18,5419,15,9137,979,862,0,0,55740,47404,vpn
40,7590,34,6688,40,189,1500,287,40,196,1500,313,67,103412,972262,225731,409,156865,1100736,255196,590027106,28330,358215,1129392,376589,1051460,53248047,538934229,161108121,3,632,2,557,25,16,0,0,1620,1364,vpn
838,271450,716,477172,40,323,2960,428,40,666,7340,1110,11,77187,1094699,164737,7,90830,1188511,177080,590029382,22,1813418,7809723,1997164,1004082,15487050,346414719,59171206,23,7755,20,13633,572,519,0,0,33540,28644,vpn
40,7590,34,6752,40,189,1500,287,40,198,1500,313,71,142143,1222697,309573,312,192909,1216767,326768,590026693,29012,475783,2254243,662072,1064381,58479307,538984413,168854405,3,690,3,613,25,16,0,0,1620,1364,vpn
2161,662510,1777,1307645,40,306,1500,384,40,735,14640,1486,13,64983,1175523,133151,3,80180,1137715,144578,590027329,2333,1639719,17367712,2303288,1000505,5364894,57244277,9522583,25,7794,20,15384,1510,1325,0,0,86460,71084,vpn
653,159802,545,266464,40,244,1500,316,40,488,5880,868,15,75915,974298,130207,20,93902,1075143,145073,590025220,48828,914069,3934410,913973,1051972,10201235,57643946,12473200,12,2959,10,4934,448,406,0,0,26140,21804,vpn
40,7590,34,6688,40,189,1500,309,40,196,1500,313,191,108110,971972,230424,23,161201,1130255,259473,590030280,32289,364111,1160015,384232,1047917,53241903,538903764,161100056,3,632,2,557,24,17,0,0,1620,1364,vpn
1978,552514,1698,1671191,40,279,2960,357,40,984,17560,1883,10,68262,1024401,136383,3,80765,1216570,140640,590029291,29648,1501664,8756919,1911369,1004437,5111005,38024041,5185254,21,6139,18,18568,1387,1213,0,0,79140,67924,vpn
576,141828,535,395280,40,246,2960,320,40,738,10260,1316,12,82891,1003642,179250,8,96848,1021612,172373,590029876,19981,863051,7758476,1388328,1059205,9657785,47912762,10741129,10,2488,9,6934,413,356,0,0,23060,21404,vpn
1876,582956,1654,1244542,40,310,2960,393,40,752,13180,1503,13,73625,1167023,159094,3,84258,1043587,162388,590025858,28945,1468534,13206838,2599191,1003922,4928827,63827817,8948541,20,6268,17,13382,1320,1159,0,0,75060,66164,vpn
2598,849176,2124,1348394,40,326,2960,443,40,634,14640,1392,8,74869,1123510,149272,2,91043,1104671,160818,590029244,27580,1608272,15858075,2176652,1023380,3420966,10010050,2513159,22,7196,18,11427,1712,1510,0,0,103940,84964,vpn
41,7764,35,6792,40,189,1500,284,40,194,1500,310,66,115099,972599,223236,329,148999,1055720,239182,590028206,6936,357853,1106760,373214,1053190,53248541,539260756,161217066,3,647,2,566,26,16,0,0,1660,1404,vpn
2372,657726,2154,6087626,40,277,2960,369,40,2826,30700,4180,4,41282,1172981,108541,2,48783,1021355,111822,594407240,28150,968661,11158662,1363418,1001199,4526140,9886877,3072298,21,6034,19,55849,1460,1630,0,0,94900,86164,vpn
1719,564840,1466,1072938,40,328,1500,411,40,731,14640,1345,10,60879,1128296,140776,2,71722,1096590,145889,590029179,27579,1378698,8765042,2150197,1011399,6576037,55582919,9365938,22,7531,19,14305,1221,1101,0,0,68780,58644,vpn
900,250012,743,349357,40,277,1500,363,40,470,11720,900,7,74592,984865,151468,9,92371,1091357,154222,590025526,27359,1289847,5554726,1317229,1051491,10253989,69436853,16462853,17,4807,14,6718,631,528,0,0,36020,29724,vpn
1175,337050,988,592795,40,286,1500,369,40,599,14640,1320,21,72808,972444,140538,3,89219,1182535,145603,590026551,4502,1301464,16820915,2487684,1000514,7755844,42739458,10195178,17,5106,14,8981,806,718,0,0,47020,39524,vpn
841,267452,690,389801,40,318,1526,418,40,564,14640,1356,15,70571,1163881,152255,11,89616,1224642,166807,590031443,26849,919805,8960287,1408165,1054964,8285064,68891517,14636414,12,4114,10,5996,555,483,0,0,33660,27604,vpn
1748,519506,1509,1214923,40,297,2960,386,40,805,21940,1591,8,69550,1132184,146427,6,80488,1061320,149586,590026072,13080,1200407,7158845,1567240,1020056,4747326,52884869,5718918,17,5195,15,12149,1223,1073,0,0,69940,60364,vpn
882,246896,741,681587,40,279,1500,380,40,919,14640,1755,18,79903,997421,165558,4,94729,1114657,179936,590025829,2989,1193657,15550506,2198638,1011040,9321202,122652591,19216729,15,4331,13,11957,576,521,0,0,35300,29644,vpn
743,175468,698,1561306,40,236,1500,275,40,2236,19020,3022,8,60683,1251219,161199,3,68100,1183282,156254,215025657,25210,1137898,8264829,1619169,1008380,4209295,9099939,2738361,18,4279,17,38080,500,513,0,0,29740,27924,vpn
4552,1182696,4324,13489487,40,259,3496,338,40,3119,29240,3903,7,31576,1229401,83917,1,36312,1005618,88535,733601909,11024,1152280,7790511,1312916,1083258,4233378,9993836,2671854,33,8632,31,98463,2791,3476,0,0,182100,172964,vpn
476,128198,422,243962,40,269,1500,309,40,578,8800,1201,12,92006,1024200,171229,16,112853,1088875,166985,590025618,23,899219,6197340,1121060,1023163,11123768,96136428,16842642,9,2563,8,4879,360,247,0,0,19060,16884,vpn
490,87890,422,639063,40,179,1500,220,40,1514,13180,2321,7,53482,1000334,130661,1,64282,1203988,142223,590024905,1939,420035,4164416,659274,1052830,9089720,53665182,8624621,7,1395,6,10143,305,300,0,0,19620,16884,vpn
40,7590,34,6752,40,189,1500,287,40,198,1500,313,65,104307,970551,227853,395,149391,1002213,235532,590028860,30667,369381,1102418,344412,1055410,53236025,539047152,161149242,3,632,2,562,25,16,0,0,1620,1364,vpn
1293,399970,1119,705746,40,309,1500,384,40,630,10260,1110,12,65453,1004571,142037,3,77535,1120214,147588,590022995,22,1441873,9937964,1858351,1056349,8706076,57499945,13271938,21,6779,18,11961,937,808,0,0,51740,44764,vpn
1350,442690,1194,1112189,40,327,1646,402,40,931,26320,1706,11,64309,1091502,148182,3,74281,1169991,151032,590025881,27379,1158786,9714468,1810711,1057771,6798876,58763571,10819050,18,5902,15,14829,953,892,0,0,54020,47764,vpn
38,7510,32,6672,40,197,1500,316,40,208,1500,321,123,107940,975573,236837,27,168801,1161846,272867,50855189,81948,410691,1189777,382169,1049795,4633758,9725193,2979383,3,682,2,606,24,17,0,0,1540,1284,vpn
2196,448904,2062,6345687,40,204,1500,261,40,3077,29240,3929,7,34524,1131776,107077,1,36204,1007957,110361,692859622,28067,725096,9201254,1291063,1056010,5866660,29337179,3988096,20,4234,19,59864,1324,1709,0,0,87860,82484,vpn
