@relation <netmate-2017-06-07-17:00:43-1>-weka.filters.unsupervised.attribute.Remove-R1-5-weka.filters.supervised.instance.Resample-B0.0-S1-Z60.0-no-replacement-V-weka.filters.supervised.instance.Resample-B0.0-S1-Z50.0-no-replacement-V

@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute total_bvolume numeric
@attribute min_fpktl numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_bpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute min_fiat numeric
@attribute mean_fiat numeric
@attribute max_fiat numeric
@attribute std_fiat numeric
@attribute min_biat numeric
@attribute mean_biat numeric
@attribute max_biat numeric
@attribute std_biat numeric
@attribute duration numeric
@attribute min_active numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute min_idle numeric
@attribute mean_idle numeric
@attribute max_idle numeric
@attribute std_idle numeric
@attribute sflow_fpackets numeric
@attribute sflow_fbytes numeric
@attribute sflow_bpackets numeric
@attribute sflow_bbytes numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute furg_cnt numeric
@attribute burg_cnt numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute class {vpn,normal}

@data
1285,424578,1074,557339,40,330,2960,439,40,518,8800,916,10,73075,1000164,160920,3,89548,1202959,173716,590025492,22565,1733820,15014652,2694501,1170968,9366022,56055628,12037648,23,7862,19,10321,872,785,0,0,51420,42964,vpn
604,183530,562,328143,40,303,1500,381,40,583,11720,1106,15,75836,976573,165635,15,86505,1172280,157617,590027005,66557,878012,10341655,1765690,1052521,10238006,71767516,13073346,11,3398,10,6076,445,391,0,0,24180,22484,vpn
42,7670,35,6792,40,182,1500,282,40,194,1500,313,62,101780,951823,228621,403,150444,1013789,248448,590025990,28780,363349,1067421,352451,1056733,53242344,539126835,161175528,3,639,2,566,25,15,0,0,1700,1404,vpn
995,301110,817,460065,40,302,2960,424,40,563,11720,1051,12,73959,972064,156287,2,89453,1160505,171742,590018156,22,967523,14474765,1978639,1053172,7213734,65031109,8213287,13,4124,11,6302,645,603,0,0,39820,32684,vpn
1196,368220,981,578525,40,307,2960,411,40,589,14640,1271,15,84154,1125319,164410,6,100809,1129910,180783,590026386,40758,993610,7319809,1504956,1008859,5142147,56931201,7849833,12,3796,10,5964,792,663,0,0,47860,39244,vpn
538,136626,482,319343,40,253,1500,332,40,662,8800,1103,11,57357,1148412,128345,2,67140,1050170,132393,590025248,22,523789,5532940,845472,1043770,9467761,58852242,12956700,8,2277,8,5322,376,348,0,0,21540,19284,vpn
2314,694328,1993,1595033,40,300,2960,389,40,800,14640,1496,9,63847,1086517,132460,2,74190,1189732,143183,590038822,23402,1422278,15196709,2204031,1027689,4348472,58631794,6392309,22,6741,19,15485,1594,1512,0,0,92580,79724,vpn
40,7590,34,6752,40,189,1500,287,40,198,1500,313,71,109287,973029,225288,327,158623,1096752,273493,590022400,26828,364115,1124058,377123,1057632,53241182,539198023,161198089,3,632,2,562,25,16,0,0,1620,1364,vpn
2140,657730,1741,1376964,40,307,2230,394,40,790,23400,1501,14,69043,1107192,148396,1,84995,1217202,162208,590022796,28705,1642982,15756150,2630136,1006364,5120003,55690161,6320477,24,7474,19,15647,1470,1303,0,0,85620,69644,vpn
1939,615422,1592,1440383,40,317,2026,408,40,904,17560,1711,15,67277,1120611,144003,2,82518,1044134,157473,590024495,30,1632467,9206534,2023927,1069140,5911020,58865993,9891539,24,7790,20,18232,1329,1214,0,0,77580,63684,vpn
88,16758,78,18148,40,190,1500,256,40,232,2960,398,83,81380,973995,163371,67,111167,981038,174533,590024903,26826,398973,2099392,510992,1163983,32358022,163779308,45014839,4,882,4,955,58,48,0,0,3540,3124,vpn
