@relation '<netmate-2017-06-07-17:00:43-1>-weka.filters.unsupervised.attribute.Remove-R1-5-weka.filters.supervised.instance.Resample-B0.0-S1-Z60.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R4-5,8-10,13-19,22,27,29-33,36-37-weka.filters.unsupervised.attribute.Remove-R13-14'

@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute std_biat numeric
@attribute duration numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute class {vpn,normal}

@data
1753,551966,1451,314,1502,21940,1643,174259,590026787,2196890,13327767,2691115,1268,1020,70140,58044,vpn
2062,619992,1710,300,2960,14640,1603,188339,590024198,1781567,16991617,2469004,1405,1336,82500,68404,vpn
1000,286964,874,286,2960,13180,1624,164478,590026495,1453433,16045751,2367301,685,663,40020,34964,vpn
742,201020,608,270,2960,13180,1397,172794,590024857,727784,8737975,1301980,456,426,29700,24324,vpn
3718,1126044,3292,302,3020,46760,5165,110626,590025427,1457356,8213376,1849305,2396,2738,148740,131684,vpn
2279,708048,1908,310,2960,13180,1450,147936,590024604,2118358,17030519,2780832,1558,1454,91180,76324,vpn
1284,404098,1096,314,2960,10260,1257,144504,590022976,1158619,14649001,2250713,907,796,51380,43844,vpn
1146,351156,965,306,2960,11720,1155,188617,590026523,1037925,8540789,1719698,769,682,45860,38604,vpn
261,62062,246,237,1500,5880,744,216658,590025365,881819,6048592,1400367,215,119,10460,9844,vpn
1272,363918,1097,286,1500,14640,1221,145557,590026017,1704689,9965525,2180480,891,772,50900,43884,vpn
1495,485956,1275,325,1500,14640,1304,153204,590027275,1613593,10419226,1810074,1094,910,59820,51004,vpn
843,253590,726,300,1500,11720,1525,163859,590029304,1025127,4842182,1172876,593,515,33740,29044,vpn
1029,462702,858,449,2390,16100,1645,114066,590024478,3260787,38970647,9900282,681,571,41180,34324,vpn
1419,424460,1233,299,1500,16100,1982,145770,590025765,1305938,10212965,1809383,981,928,56780,49324,vpn
3000,1051762,2917,350,6112,36540,4711,81583,590026051,1063432,8670273,1587001,1883,2590,120020,116684,vpn
1001,272016,832,271,2708,8800,1120,163972,590025448,1498591,7383199,1780295,706,583,40060,33284,vpn
256,86834,227,339,1500,7340,1105,128871,590024981,604181,4426361,948175,183,146,10260,9084,vpn
546,141090,505,258,1500,10260,1213,159650,590025346,865969,6438391,1142707,396,352,21860,20204,vpn
39,7186,33,184,1500,1500,317,281023,590025246,385722,1348207,403885,22,17,1580,1324,vpn
1039,295998,865,284,1500,7340,922,174061,590025064,1088590,9270542,1486843,683,637,41580,34604,vpn
481,139946,428,290,1500,19020,2046,131318,590025386,674376,4709291,891442,331,306,19260,17124,vpn
1679,487930,1383,290,1500,26320,2032,151526,590024762,2250998,18958011,3597005,1134,1019,67180,55324,vpn
68,12298,57,180,1500,2960,452,216247,590025193,343248,1229909,341845,40,33,2740,2284,vpn
42,7954,35,189,1500,1500,310,239550,590025068,325839,1107200,353650,27,16,1700,1404,vpn
39,7494,33,192,1500,1500,317,270128,590024784,390311,1202994,397542,24,16,1580,1324,vpn
1018,323784,863,318,1500,13180,1274,148391,590026928,1115673,6315401,1375906,693,635,40740,34524,vpn
58,11580,51,199,1500,2960,488,216168,590023851,369530,1195070,388496,36,29,2340,2044,vpn
1192,365050,1028,306,1500,24860,2448,113638,590026653,1117791,14491149,2073288,817,768,47700,41124,vpn
211,41672,184,197,1500,5880,884,127770,590030434,411632,2405616,485630,134,117,8460,7364,vpn
694,180420,593,259,1500,14640,1372,159904,590025174,835763,5892357,1201807,484,422,27780,23724,vpn
516,147312,437,285,1500,13180,970,179664,590007627,656521,10364788,1660881,353,283,20660,17484,vpn
1121,295798,920,263,1500,14640,1419,154610,590026379,1120330,16189562,2392980,778,680,44860,36804,vpn
938,262644,790,280,1500,13180,1129,145429,590024547,1278190,5792524,1336920,622,575,37540,31604,vpn
346,107496,321,310,1500,16100,1512,202377,590023364,1718983,16733857,3299828,272,152,13860,12844,vpn
1583,512970,1347,324,2352,19020,1773,140601,590026918,1386970,9740351,1896475,1125,999,63340,53884,vpn
206,59916,191,290,1500,1500,173,220547,590026118,1340206,11127924,2196827,175,47,8260,7644,vpn
