@relation <netmate-2017-06-07-17:00:43-1>-weka.filters.unsupervised.attribute.Remove-R1-5

@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute total_bvolume numeric
@attribute min_fpktl numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_bpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute min_fiat numeric
@attribute mean_fiat numeric
@attribute max_fiat numeric
@attribute std_fiat numeric
@attribute min_biat numeric
@attribute mean_biat numeric
@attribute max_biat numeric
@attribute std_biat numeric
@attribute duration numeric
@attribute min_active numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute min_idle numeric
@attribute mean_idle numeric
@attribute max_idle numeric
@attribute std_idle numeric
@attribute sflow_fpackets numeric
@attribute sflow_fbytes numeric
@attribute sflow_bpackets numeric
@attribute sflow_bbytes numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute furg_cnt numeric
@attribute burg_cnt numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute class {vpn,normal}

@data
12083,4464264,10619,19402082,40,369,2960,448,40,1827,36540,3120,7,30389,1025344,70538,1,34553,1134634,79253,590025628,28310,6346453,191331133,25239809,1030775,3893531,18408980,3496576,208,76970,183,334518,8094,8442,0,0,483340,424764,vpn
1687,565738,1380,1058981,40,335,4048,444,40,767,13180,1468,10,67434,977307,134638,3,82653,1153151,151166,590024394,23988,1474635,14747324,2172482,1043351,6372694,70706128,10944002,22,7443,18,13933,1125,1035,0,0,67500,55204,vpn
1806,553048,1522,984122,40,306,2352,393,40,646,11720,1165,10,73550,1038204,146225,8,86250,1068320,151813,590029957,28825,1220334,12782019,2140219,1014120,4387376,45571374,5034779,17,5217,14,9284,1233,1086,0,0,72260,60884,vpn
1416,507736,1239,1158237,40,358,1500,410,40,934,14640,1611,15,60425,1035017,140656,4,70235,1019788,144662,590024676,26804,1165204,16701868,2298644,1035643,7013399,56544873,8638369,19,6955,16,15866,1055,911,0,0,56660,49564,vpn
1223,336146,1039,530752,40,274,2960,373,40,510,13180,1108,13,84014,1038240,159242,3,101025,1111556,172800,590027388,4428,1194739,14069493,2089452,1025047,5899629,58949000,7787719,14,4001,12,6318,853,752,0,0,48940,41564,vpn
601,150436,529,217380,40,250,1500,305,40,410,5880,733,40,85469,995788,172469,5,101193,1149245,164949,590025106,2393,1319055,4637191,1317960,1060747,14173209,94941022,21475708,15,3857,13,5573,434,371,0,0,24060,21164,vpn
1155,275668,1108,2612031,40,238,1500,298,40,2357,33620,4182,5,60976,1192560,156628,2,68177,1155989,141563,590025304,17963,1025929,10859143,1764368,1261551,7388347,57671330,9905510,16,3882,15,36789,787,859,0,0,46220,44324,vpn
1301,388120,1121,1244745,40,298,1500,387,40,1110,14640,2020,11,60329,1229420,133700,3,71511,1025539,140091,592082701,37513,1192267,18411403,2586856,1047563,7898354,49526188,11336381,19,5880,16,18859,883,855,0,0,52060,44844,vpn
1595,498436,1325,1257932,40,312,2444,405,40,949,14640,1796,10,64225,972564,132561,4,79164,1165117,148407,590025338,19,1883921,15799662,2966007,1038890,9007585,89068511,16538038,29,9062,24,22871,1065,1001,0,0,63820,53004,vpn
1176,303668,1003,736935,40,258,1500,339,40,734,10260,1299,9,70558,1097248,146465,3,85424,1185320,156078,590024654,24,1022854,4381507,1042837,1030569,6339668,56533676,9614658,14,3748,12,9097,808,718,0,0,47060,40124,vpn
1769,649678,1478,1572629,40,367,2960,471,40,1064,17560,1730,9,51675,972908,124299,2,62135,1153777,137438,590025336,26950,1725450,17009345,3005016,1008458,9588009,109395741,18910773,33,12258,27,29672,1116,1103,0,0,70780,59124,vpn
183,36350,156,42768,40,198,1500,235,40,274,4420,554,70,81080,991174,152754,217,102688,1108186,170035,590022699,26897,429033,2069419,495182,1055094,16911956,80924944,23900076,5,1038,4,1221,120,102,0,0,7340,6244,vpn
2859,880398,2381,2120205,40,307,4420,409,40,890,16100,1574,12,58981,1101436,122934,2,71500,1196822,133557,590024989,14523,2375220,28871910,4687616,1010344,6019776,55240218,7425517,40,12399,33,29862,1919,1833,0,0,114380,95244,vpn
3657,1116210,3232,6465120,40,305,2590,379,40,2000,27780,3292,12,43028,1158319,106782,2,48928,1102124,115182,590025175,20,1818814,13439889,2659537,1010301,5020794,58710287,9063049,42,12830,37,74311,2562,2609,0,0,146300,129284,vpn
3046,959768,2528,2005941,40,315,2960,397,40,793,17560,1415,9,64519,1167724,135640,3,78134,1083925,148786,590015103,2672,1890319,24815110,3339485,1002104,3875609,57672251,6111392,29,9318,24,19475,2129,1924,0,0,121860,101124,vpn
1209,420312,1047,1198974,40,347,1500,419,40,1145,14640,2030,16,47189,972246,119204,5,58860,1189566,121874,590027865,21232,1089837,14498468,2089084,1028691,9618126,58804301,10707826,21,7505,18,21410,845,754,0,0,48380,41884,vpn
995,301110,817,460065,40,302,2960,424,40,563,11720,1051,12,73959,972064,156287,2,89453,1160505,171742,590018156,22,967523,14474765,1978639,1053172,7213734,65031109,8213287,13,4124,11,6302,645,603,0,0,39820,32684,vpn
2163,681420,1844,1674070,40,315,2816,390,40,907,14640,1586,15,66794,1202060,144630,4,78579,1219222,155659,590025707,28031,1468771,16878517,2289004,1010907,4662030,61084534,7955378,22,7024,19,17258,1544,1401,0,0,86540,73764,vpn
1830,495144,1577,2023224,40,270,2518,368,40,1282,20480,2615,11,68005,1085822,144019,2,79194,947100,147332,590009566,27469,1249487,12475879,2166422,1007617,4820204,56618916,8466261,18,5052,16,20645,1200,1198,0,0,73220,63084,vpn
2390,728766,2047,2200213,40,304,2960,383,40,1074,19020,1818,8,64685,1193388,133643,1,75757,1126142,143419,590025518,21,1591698,17359413,2530871,1008253,4602341,24450519,4474746,24,7591,21,22918,1681,1563,0,0,95620,81884,vpn
2187,982102,1862,1381838,40,449,4420,552,40,742,11720,1287,9,43870,1040845,111152,2,54620,1076699,110656,590029974,28079,1218404,8769397,1500895,1001617,5962224,46553391,8404081,26,11832,22,16648,1498,1264,0,0,87500,74484,vpn
965,288420,797,564232,40,298,1500,404,40,707,10260,1375,11,81512,976577,171457,3,101677,1133924,179719,590025650,26910,1780808,14364195,2915430,1048764,11899303,129981657,24108571,21,6555,18,12823,620,587,0,0,38620,31884,vpn
1070,359962,891,576296,40,336,2960,444,40,646,11720,1284,12,86016,991301,178713,2,106948,1106381,185029,590026322,23,1866296,8815268,2163722,1024789,10136969,99715809,20035990,21,7199,17,11525,745,613,0,0,42820,35644,vpn
1605,477638,1400,1784856,40,297,2960,391,40,1274,20480,2262,11,71572,1119623,160400,3,81774,1199804,164287,590026625,28174,1201810,9233634,1844033,1012247,5129639,54850966,8671651,17,5081,14,18987,1071,1053,0,0,64220,56004,vpn
794,213420,653,324862,40,268,2960,397,40,497,7340,994,9,90665,979086,158478,2,112801,1102167,182913,590025062,27181,1543056,10443250,1781092,1058691,11534321,337003599,50141576,17,4639,14,7062,513,467,0,0,31780,26124,vpn
295,88614,272,192720,40,300,2960,384,40,708,10260,1261,11,71164,1123233,162597,3,82307,1142515,154847,590023921,27463,746459,4768308,1045484,1053176,20299164,130017827,32599593,10,3055,9,6645,210,186,0,0,11820,10884,vpn
