@relation <netmate-2017-06-07-17:00:43-1>-weka.filters.unsupervised.attribute.Remove-R1-5-weka.filters.supervised.instance.Resample-B0.0-S1-Z60.0-no-replacement-V-weka.filters.supervised.instance.Resample-B0.0-S1-Z50.0-no-replacement

@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute total_bvolume numeric
@attribute min_fpktl numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_bpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute min_fiat numeric
@attribute mean_fiat numeric
@attribute max_fiat numeric
@attribute std_fiat numeric
@attribute min_biat numeric
@attribute mean_biat numeric
@attribute max_biat numeric
@attribute std_biat numeric
@attribute duration numeric
@attribute min_active numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute min_idle numeric
@attribute mean_idle numeric
@attribute max_idle numeric
@attribute std_idle numeric
@attribute sflow_fpackets numeric
@attribute sflow_fbytes numeric
@attribute sflow_bpackets numeric
@attribute sflow_bbytes numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute furg_cnt numeric
@attribute burg_cnt numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute class {vpn,normal}

@data
1885,584370,1542,1726009,40,310,2510,408,40,1119,20480,2269,8,68182,1017810,146952,2,83838,1016831,163886,590024514,40390,1766241,8488437,1762470,1011250,6519086,111658268,14838231,26,8116,21,23972,1233,1181,0,0,75420,61684,vpn
1205,353298,1014,660437,40,293,1518,392,40,651,8800,1295,15,86175,1239454,165872,1,101947,1186042,181098,590025740,16128,1266882,8431923,1892515,1042764,6281307,80148500,13842690,15,4472,12,8359,811,726,0,0,48220,40564,vpn
1860,561402,1562,1367078,40,301,2960,376,40,875,13180,1517,11,72777,1128344,157693,3,86632,1066108,169489,590024299,26679,1489935,20169806,2605096,1008636,5197954,58715292,8342714,20,6307,17,15360,1337,1182,0,0,74420,62484,vpn
1518,448070,1308,1054509,40,295,1500,386,40,806,21940,1592,9,63181,1090852,132906,4,75340,1196731,141880,590025161,26247,1169738,11692570,1768989,1052285,6100081,58830870,9749278,18,5464,15,12859,1027,948,0,0,60740,52324,vpn
620,150696,522,482553,40,243,1500,315,40,924,16100,2058,13,83130,992568,170410,1,100944,1160024,175293,284819452,27167,868348,8307541,1286765,1065852,4113249,10003335,2598200,10,2598,9,8319,409,359,0,0,24820,20884,vpn
42,7788,35,6923,40,185,1500,303,40,197,1500,309,146,103667,967535,224878,259,164610,1218981,272886,590025361,27431,388563,1251686,395777,2060305,53214781,540119041,161501211,3,649,2,576,25,18,0,0,1700,1404,vpn
2092,645652,1702,1446114,40,308,1500,382,40,849,13180,1589,15,73017,1215305,152815,4,90120,1119099,166249,590026555,27553,1786266,9691039,2322123,1027513,5300965,53436720,7062722,24,7686,20,17215,1465,1292,0,0,83700,68084,vpn
39,7186,31,6568,40,184,1500,292,40,211,1500,325,66,124339,973496,244212,400,158679,995609,300667,590025783,23,346538,1355231,416775,1055156,53260666,539088255,161155577,3,598,2,547,23,16,0,0,1580,1244,vpn
1303,356084,1092,780766,40,273,1500,349,40,714,14640,1416,15,66332,977579,125104,2,79321,1077607,140407,590022715,17691,1116184,16772297,2083070,1048105,6735902,58810045,11285085,17,4685,14,10273,891,849,0,0,52140,43684,vpn
2007,691746,1717,1349694,40,344,2960,443,40,786,11720,1260,12,64985,1096718,148305,2,77338,1039214,152551,590025904,27357,1653639,8808931,2113963,1015439,5889594,53651128,8490750,25,8756,21,17084,1392,1229,0,0,80300,68684,vpn
796,235606,678,413070,40,295,1500,378,40,609,8800,1214,32,75034,1187412,158044,4,90095,1007497,160285,590026642,16,1345504,9367529,1652164,1060989,12344754,57602187,18076843,18,5354,15,9387,560,469,0,0,31860,27124,vpn
868,231490,746,335283,40,266,1500,341,40,449,7340,798,17,82058,985619,163803,2,96559,1080189,159518,590027427,29251,1336110,5993233,1413461,1052241,9984876,80420895,16234680,16,4367,14,6326,614,526,0,0,34740,29844,vpn
1639,375784,1606,3565268,40,229,1500,267,40,2219,17560,2692,9,37063,979524,110157,1,39176,1014643,108962,1064969393,27049,598493,7966148,939615,1063615,8990433,68969144,12000758,14,3355,14,31832,1128,1267,0,0,65580,64244,vpn
739,175064,622,256484,40,236,1500,304,40,412,7340,825,31,108159,1080519,192023,23,130985,1108667,193608,590025975,28347,1347327,6361400,1358450,1054516,8980368,57416800,11826881,12,3018,10,4422,523,426,0,0,29580,24884,vpn
1177,357636,973,690358,40,303,2960,404,40,709,11720,1502,20,70956,996817,154712,3,87252,1048949,163264,590024866,22,1090085,9317909,1791613,1028170,6868492,57537052,8599908,15,4768,12,9204,798,694,0,0,47100,38924,vpn
2513,818518,2322,8643647,40,325,1500,389,40,3722,43840,5036,8,37694,1200366,122083,2,41909,1041510,116225,590025885,28128,1321968,8755611,1803225,1036261,6742468,55813512,8108043,33,11061,31,116806,1674,1846,0,0,100540,92884,vpn
1539,520626,1286,863991,40,338,2960,434,40,671,8800,1219,8,72907,1196721,163821,2,89170,1174163,167778,590025795,27462,1871124,14960162,2788294,1056124,8097598,49901581,10932293,25,8677,21,14399,1035,926,0,0,61580,51444,vpn
102,20276,85,25456,40,198,1500,278,40,299,2960,523,35,70660,973064,145300,163,93426,1057340,157904,590025142,26688,361927,1105714,343021,1048245,29121232,459208841,101285038,4,965,4,1212,62,52,0,0,4100,3404,vpn
1510,495158,1293,807431,40,327,2960,394,40,624,11720,1120,27,67138,975492,155036,8,79598,1098266,153527,590023433,21214,1655269,8376608,1810607,1136669,8150866,58754908,12770928,24,8117,21,13236,1094,939,0,0,60420,51724,vpn
1695,517518,1377,966657,40,305,2960,406,40,702,13180,1476,10,73602,1146476,149144,1,90727,1029131,164951,590025227,27025,1072409,14094430,1868264,1022433,4186097,55408385,5829941,15,4579,12,8554,1142,979,0,0,67820,55084,vpn
